,0
86426,NEU
90194,NEG
16820,NEU
62688,NEG
43605,NEG
97670,NEG
77444,NEG
52415,NEG
45157,POS
13384,NEG
82776,NEU
42992,NEG
28414,NEG
54920,NEG
56392,NEU
86735,POS
95686,POS
71446,POS
23958,POS
28195,NEU
56117,NEG
67757,POS
12681,NEG
82904,NEG
63236,POS
77665,NEG
83484,NEU
74932,POS
91252,POS
25440,NEG
81613,POS
82333,NEU
12609,NEG
13017,NEU
18129,NEG
70380,NEG
12108,NEG
14726,NEU
74358,NEU
82599,NEU
40212,NEG
78367,NEG
66596,NEG
70999,NEG
36026,NEG
29439,POS
74477,NEG
49845,POS
32305,NEG
77243,NEU
73205,NEG
47311,POS
48553,NEG
75689,NEG
84102,NEG
10607,NEG
43913,POS
98992,NEG
92056,NEG
33853,NEG
75215,NEG
96218,NEG
57013,NEG
20883,NEG
74831,POS
53264,NEG
28204,NEG
42024,POS
84664,NEG
54842,NEU
48995,NEG
47153,NEG
76826,NEG
27645,NEG
64429,NEU
20943,NEG
78064,NEG
14122,NEU
72353,POS
39051,NEG
54546,NEG
50759,NEU
75992,POS
45068,NEG
17259,NEG
95225,NEU
84667,NEG
14574,NEU
23784,NEU
93119,NEG
30115,NEU
69281,NEG
15322,POS
75089,POS
21379,NEG
43133,NEG
52102,POS
59537,POS
44209,POS
96664,POS
12559,NEG
61914,POS
32317,POS
94767,POS
64835,NEG
41353,NEG
52252,NEG
91001,NEG
18495,POS
76680,NEU
88013,NEG
66349,NEG
80561,NEG
16052,NEU
49996,NEG
77086,POS
10972,NEG
69160,POS
28380,NEU
40252,NEG
39907,NEG
16164,NEU
52824,POS
77294,NEG
13420,NEU
16940,NEG
83816,NEU
99156,NEG
11255,NEG
28841,POS
79060,POS
71682,NEU
17577,POS
27503,NEG
59998,NEG
81119,NEU
28812,NEG
84131,NEG
23179,NEG
28601,NEG
64776,NEU
95712,NEU
69972,NEG
37115,POS
80696,POS
68163,NEU
96789,NEG
68629,NEG
66109,NEG
19419,NEG
32942,NEU
74285,NEU
77319,NEG
30517,NEG
69077,POS
67758,NEU
35944,NEU
48223,NEU
47168,NEU
53947,NEU
49504,NEG
66291,NEU
31229,NEG
75850,POS
88546,NEG
29241,POS
19842,NEG
69232,NEG
36471,NEU
32897,NEG
62072,NEG
95444,NEG
51172,NEU
62481,NEG
71895,NEU
78366,NEG
39021,POS
68840,NEG
96837,NEG
51815,NEU
62023,NEG
10253,POS
21367,NEU
33797,NEG
11160,NEU
32916,NEG
47427,NEG
87052,NEG
29556,NEG
18547,NEG
32688,NEG
57850,POS
82607,NEG
82339,NEG
98077,NEG
62815,POS
34510,NEG
53501,NEU
69928,NEG
31853,NEG
13872,NEG
30791,NEU
80385,NEG
54292,NEG
28985,NEG
52375,NEG
74004,NEG
70838,NEG
64577,POS
44448,NEG
53928,NEG
45337,NEU
85707,NEG
63292,NEG
15991,NEG
25009,POS
90990,POS
65785,NEG
38837,NEG
94182,NEG
77653,POS
27238,POS
12892,NEU
16885,NEG
46581,NEU
41517,NEG
22717,NEG
88539,NEU
65786,NEU
54437,NEG
19514,NEG
57943,NEG
66328,NEG
34317,NEG
44837,NEG
36289,NEG
80570,NEG
43185,NEG
86477,NEU
67080,NEG
96270,NEG
44015,NEG
48060,NEU
31065,NEG
11411,NEG
10133,POS
22128,NEG
36518,POS
59559,NEU
99618,NEG
53309,NEU
29497,NEG
84329,NEG
50315,NEG
97959,NEG
66524,POS
97300,NEG
12919,NEU
40855,NEG
84100,NEG
21270,POS
41818,POS
12435,NEG
14808,NEG
82579,NEG
84523,NEU
61917,POS
33322,NEG
79251,NEG
42540,NEU
13881,NEU
70402,NEG
83462,NEU
87206,NEG
87300,NEG
54125,NEU
75848,NEG
14948,NEU
66798,NEG
80497,NEG
38561,NEG
55203,POS
31776,NEG
60916,NEU
97277,NEG
63113,POS
59721,NEG
53839,NEG
15616,NEU
95200,NEU
77769,NEG
65790,NEG
48548,NEG
83751,NEG
62541,POS
62107,NEG
18474,NEG
33096,NEG
22879,NEU
81470,NEU
20322,NEG
26694,NEG
60130,NEG
54559,NEG
34961,NEG
14285,NEG
25012,NEU
19121,NEG
61272,POS
25360,NEG
56949,POS
34893,NEG
90958,NEU
42133,NEG
18834,POS
12741,NEG
42528,NEU
29300,NEU
14850,NEG
38043,NEG
40340,NEU
76709,POS
22728,NEU
14037,NEG
11640,NEU
47009,NEG
90912,NEU
97936,NEG
12531,NEG
61448,POS
23853,NEG
58454,NEG
63262,NEG
13136,NEU
74670,NEG
45111,POS
72024,NEG
11405,NEU
90605,NEG
28728,NEG
98547,NEG
98382,NEG
80430,NEU
68007,NEU
88809,NEG
71577,NEG
15863,NEG
11918,POS
17391,NEG
34443,NEG
87904,NEG
19732,NEU
52972,NEG
20800,NEG
39866,NEG
18348,NEU
61093,POS
75384,NEG
68664,NEU
90705,NEG
83290,NEU
22185,POS
13257,NEU
90575,NEU
37630,POS
51377,POS
51635,NEG
14407,NEU
87366,POS
77089,NEG
27974,NEU
79972,NEG
38981,NEG
30085,NEG
95773,NEG
94397,NEU
51053,POS
21635,NEG
80767,NEG
63772,POS
14131,NEG
62738,NEG
33709,NEG
98754,NEU
53995,NEG
52965,NEG
19654,NEG
46633,NEG
82171,NEG
54467,POS
50936,NEG
97580,NEG
18747,POS
54991,NEG
55051,NEG
59090,NEG
23159,NEG
58548,NEG
41277,NEG
51592,NEG
38752,NEG
56068,NEG
29892,POS
88585,NEG
14234,NEG
25552,NEG
